finn_car_id,product_brand,purchasing_model,purchasing_model_line,product_fuel,helper_subscription_handover_date,product_body_type,delivery_compound_location
0f5r9nc0,BMW,X1,Modell M Sport,Benzin,2022-07-01,SUV,compound_akb_schoeneck
0f7aec49,Opel,Astra ST,Elegance,Diesel,,Kombi,compound_blg_saalanderdonau
0f7y2jpb,Opel,Crossland,Edition,Benzin,2023-01-20,SUV,compound_blg_neuss
0f7y42fv,Audi,Q8,competition plus,Plug-In-Hybrid,,SUV,compound_akb_kitzingen
0f9miigh,Polestar,2,Long Range Dual Motor,Elektro,2022-04-12,Limousine,dealer_eder_polestar_muenchen
0f26pybh,Opel,Crossland,Elegance,Benzin,,SUV,dealer_siebrecht_d2c_uslar
0f85yas7,Opel,Corsa,Elegance,Benzin,,Limousine,dealer_siebrecht_d2c_uslar
0f2334bk,Opel,Mokka e,GS Line,Elektro,,SUV,dealer_siebrecht_d2c_uslar
0facae2y,Fiat,500 e,ICON,Elektro,,Kleinwagen,compound_mosolf_kippenheim
0fbgcxvg,Opel,Zafira Life,Edition M,Diesel,,Van,dealer_siebrecht_d2c_uslar
0fbhjs34,VW,Golf Variant,Life,Benzin (mild-hybrid),,Kombi,compound_arsaltmann_wolnzach
0fcqmjd0,Audi,A3 Limousine,S line,Benzin (mild-hybrid),2022-07-26,Limousine,compound_akb_kitzingen
0fe0cqfz,Opel,Crossland,Elegance,Benzin,2023-02-09,SUV,dealer_siebrecht_d2c_uslar
0feypvus,VW,Passat Variant,Business,Benzin,2022-11-02,Kombi,compound_arsaltmann_wolnzach
0fi9zw5h,Peugeot,e-2008,GT,Elektro,2022-12-07,SUV,compound_akb_kitzingen
0fisoor7,Tesla,Model 3,Long Range,Elektro,2022-11-17,Limousine,compound_akb_kitzingen
0fiy501f,Fiat,500,Cult,Benzin (mild-hybrid),2022-04-28,Kleinwagen,compound_akb_schoeneck
0flqgg13,Opel,Corsa,Elegance,Benzin,,Limousine,dealer_siebrecht_d2c_uslar
0fnx5khc,BMW,X3,M Sportpaket,Diesel,,SUV,
0fob6dhe,Polestar,2,Longe Range Dual Motor mit Performance Paket,Elektro,,Limousine,compound_catzuelpich_zülpich
0fopr2ap,Fiat,500 e,ICON,Elektro,2022-09-01,Kleinwagen,compound_mosolf_kippenheim
0fpieznp,Audi,Q3 Sportback,S line,Diesel,,SUV,compound_akb_kitzingen
0fqyc1c0,VW,Passat Variant,Business,Diesel,2022-09-26,Kombi,compound_arsaltmann_wolnzach
0fr2y3u0,BMW,X4,M Sportpaket,Benzin,,SUV,
0frzo15b,Jeep,Compass,S,Plug-In-Hybrid,2022-02-09,SUV,compound_mosolf_kippenheim
0fs2llmd,Audi,Q2,S line,Benzin,,SUV,compound_akb_kitzingen
0fu1vog7,Audi,A3 Sportback,S line,Benzin,,Limousine,compound_akb_kitzingen
0fvfv7pw,Opel,Zafira Life,Edition M,Diesel,2022-03-01,Van,dealer_siebrecht_d2c_uslar
0fw39j6d,Tesla,Model Y,Long Range,Elektro,,SUV,compound_akb_kitzingen
0fxies02,Jeep,Compass,S,Plug-In-Hybrid,,SUV,compound_mosolf_kippenheim
0fxyamp6,Audi,Q5,S line,Plug-In-Hybrid,,SUV,compound_akb_kitzingen
0fxyogwt,Kia,Ceed Sportswagon,Spirit,Plug-In-Hybrid,,Kombi,compound_blg_saalanderdonau
0fz7obgi,Opel,Mokka e,GS Line,Elektro,,SUV,dealer_siebrecht_d2c_uslar
00g0nj4e,Fiat,500,Dolcevita,Benzin (mild-hybrid),2022-12-20,Kleinwagen,compound_mosolf_kippenheim
0g1r191w,Opel,Corsa,Elegance,Benzin,,Limousine,dealer_siebrecht_d2c_uslar
0g1z3mtt,Audi,Q3 Sportback,S line,Plug-In-Hybrid,,SUV,compound_akb_kitzingen
0g2se7zt,Opel,Corsa,Elegance,Benzin,2022-12-19,Limousine,dealer_siebrecht_d2c_uslar
0g3bqpq4,Jeep,Compass,Limited,Benzin,2022-08-19,SUV,compound_mosolf_kippenheim
0g3qh7yl,Tesla,Model Y,Long Range,Elektro,,SUV,compound_akb_kitzingen
0g7bcp5x,Tesla,Model 3,Standard Range,Elektro,,Limousine,compound_akb_kitzingen
0g8ao6xm,Fiat,500 e,ICON,Elektro,,Kleinwagen,compound_mosolf_kippenheim
0g9wciqt,Opel,Grandland X,Edition,Benzin,,SUV,dealer_siebrecht_d2c_uslar
0g69tuv6,Audi,A4 Avant,S line,Diesel (mild-hybrid),,Kombi,compound_akb_kitzingen
0g329s5g,MG,ZS,Luxury,Elektro,2023-03-31,SUV,compound_carserviceerkens_wachtendonk
0gah0zrp,Opel,Insignia ST,Sports Tourer Elegance,Diesel,2022-08-08,Kombi,dealer_siebrecht_d2c_uslar
0gaiavgq,Audi,Q5 Sportback,S line,Benzin (mild-hybrid),2023-01-25,SUV,compound_akb_kitzingen
0gb4y4ab,Audi,RS e-tron GT,,Elektro,,Limousine,compound_akb_kitzingen
0gb7mws5,Polestar,2,Standard Range Single Motor,Elektro,2022-05-11,Limousine,dealer_eder_polestar_muenchen
0gdxn3cu,Tesla,Model Y,Long Range,Elektro,,SUV,compound_akb_kitzingen
0gfobw0h,Tesla,Model Y,Long Range,Elektro,,SUV,compound_akb_kitzingen
0gg6rql5,Audi,Q3,S line,Plug-In-Hybrid,,SUV,compound_akb_kitzingen
0goaod4s,Mitsubishi,Eclipse Cross,Select,Plug-In-Hybrid,2022-09-08,SUV,compound_blg_d2c_neuss
0goq8qpz,BMW,2er Cabrio,Modell M Sport,Benzin,,Cabriolet,compound_akb_schoeneck
00gqn1st,BMW,2er Cabrio,Modell M Sport,Benzin,,Cabriolet,compound_akb_schoeneck
0gs658d0,Kia,Picanto,Dream Team,Benzin,2022-10-05,Limousine,compound_blg_d2c_duisburg
00gu6g2b,Audi,SQ5 Sportback,,Diesel (mild-hybrid),,SUV,compound_akb_kitzingen
0gudzv93,Kia,Picanto,Dream Team,Benzin,,Limousine,compound_blg_duisburg
0gz2ydzl,Opel,Corsa,GS Line,Benzin,2022-11-11,Limousine,dealer_siebrecht_d2c_uslar
0gzt1gow,Opel,Mokka e,GS Line,Elektro,,SUV,dealer_siebrecht_d2c_uslar
0h0d5q8p,Audi,Q3 Sportback,S line,Diesel,,SUV,compound_akb_kitzingen
0h0qawjs,Fiat,500,Cult,Benzin (mild-hybrid),2022-12-31,Kleinwagen,compound_akb_schoeneck
0h0setxi,Audi,A6 allroad quattro,,Benzin (mild-hybrid),,Kombi,compound_akb_kitzingen
0h1r7z35,VW,Golf Variant,Life,Benzin (mild-hybrid),,Kombi,compound_arsaltmann_wolnzach
00h3iksw,Kia,XCeed,Vision,Benzin,2022-10-13,SUV,compound_blg_saalanderdonau
00h7iv6v,Peugeot,508 SW,Allure,Benzin,,Kombi,dealer_eder_peugeot_rosenheim
